gap_id,scope,category,subject_type,osm_id,highway,name,field,severity,detail
gap-00001,core,missing_osm_tag,way,10548292,tertiary,Bastian Mawatha,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00002,core,missing_osm_tag,way,10548292,tertiary,Bastian Mawatha,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00003,core,missing_osm_tag,way,10548292,tertiary,Bastian Mawatha,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00004,context_buffer,missing_osm_tag,way,10548298,residential,2nd Cross Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00005,context_buffer,missing_osm_tag,way,10548298,residential,2nd Cross Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00006,context_buffer,missing_osm_tag,way,10548298,residential,2nd Cross Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00007,context_buffer,missing_osm_tag,way,10548298,residential,2nd Cross Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00008,context_buffer,missing_osm_tag,way,10548310,residential,Maliban Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00009,context_buffer,missing_osm_tag,way,10548310,residential,Maliban Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00010,context_buffer,missing_osm_tag,way,10548310,residential,Maliban Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00011,context_buffer,missing_osm_tag,way,10548310,residential,Maliban Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00012,context_buffer,missing_osm_tag,way,10548310,residential,Maliban Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00013,context_buffer,missing_osm_tag,way,10548319,residential,Keyzer Street,oneway,information_gap,OSM way has no oneway tag; absence is not evidence of a real-world value or condition.
gap-00014,context_buffer,missing_osm_tag,way,10548319,residential,Keyzer Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00015,context_buffer,missing_osm_tag,way,10548319,residential,Keyzer Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
gap-00016,context_buffer,missing_osm_tag,way,10548319,residential,Keyzer Street,lanes,information_gap,OSM way has no lanes tag; absence is not evidence of a real-world value or condition.
gap-00017,context_buffer,missing_osm_tag,way,10548319,residential,Keyzer Street,width,information_gap,OSM way has no width tag; absence is not evidence of a real-world value or condition.
gap-00018,context_buffer,missing_osm_tag,way,10548321,residential,1st Cross Street,access,information_gap,OSM way has no access tag; absence is not evidence of a real-world value or condition.
gap-00019,context_buffer,missing_osm_tag,way,10548321,residential,1st Cross Street,bicycle,information_gap,OSM way has no bicycle tag; absence is not evidence of a real-world value or condition.
